player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Devontez Walker,145773,WR,BLT,9,27.0,0,75.0,0.0,0,1,0,0.0,0,5,3,0,74.6,68.8,76.3,,77.6,0.0,0,0,38,0.0,0,67,1,6,91.0,61,17.9,12,156.3,8,3,82.1,55,136,23,3.8,22.7,2.23
Charlie Woerner,42257,TE,ATL,17,1.4,3,100.0,100.0,1,1,1,0.0,0,2,2,0,76.5,70.1,56.4,58.3,47.6,49.8,113,0,18,41.0,93,227,1,8,55.5,126,7.9,18,91.7,8,0,4.4,10,48,37,4.6,6.0,0.38
Tylan Wallace,61577,WR,BLT,11,14.9,1,50.0,0.0,0,2,0,0.0,0,3,3,0,41.6,73.2,49.5,,54.3,0.0,0,0,15,0.0,0,94,2,4,93.6,88,38.3,36,106.8,8,1,61.7,58,45,17,4.3,11.3,0.51
Quintin Morris,61182,TE,JAX,10,7.7,0,85.7,,0,0,0,0.0,0,4,15,0,49.7,68.8,53.9,46.0,54.3,61.9,60,0,14,16.5,16,97,1,6,76.3,74,22.7,22,139.0,7,1,14.4,14,55,21,3.5,9.2,0.74
Malik Heath,124173,WR,ATL,11,9.3,2,85.7,100.0,1,1,0,14.3,1,4,2,0,49.7,68.8,60.6,54.0,61.0,4.7,5,0,37,1.9,2,107,2,6,94.4,101,33.6,36,117.9,7,0,61.7,66,86,29,4.8,14.3,0.85
Austin Ekeler,12164,HB,WAS,2,1.4,2,71.4,0.0,0,1,0,0.0,0,2,32,0,74.6,76.3,56.2,67.0,59.5,0.0,0,0,15,19.2,10,52,1,5,76.9,40,26.9,14,84.2,7,0,1.9,1,38,50,10.0,7.6,0.95
George Holani,72154,HB,SEA,4,1.1,2,85.7,,0,0,0,0.0,0,2,29,0,74.6,44.9,62.4,52.9,82.6,6.0,3,0,13,26.0,13,50,0,6,74.0,37,2.0,1,95.8,7,0,0.0,0,49,42,7.0,8.2,1.32
Josh Whyle,54037,TE,GB,9,3.4,1,85.7,,0,0,0,0.0,0,2,12,0,74.6,68.8,54.2,60.3,54.3,60.7,65,0,21,13.1,14,107,1,6,82.2,88,21.5,23,131.8,7,1,15.0,16,43,26,4.3,7.2,0.49
Jaleel McLaughlin,138346,HB,DEN,10,-3.3,2,71.4,,0,0,0,28.6,2,2,10,0,29.2,46.4,62.4,79.7,40.9,0.0,0,0,17,10.9,5,46,0,5,89.1,41,2.2,1,78.9,7,0,6.5,3,29,48,9.6,5.8,0.71
Jawhar Jordan,99595,HB,HST,4,-1.0,2,100.0,,0,0,0,0.0,0,2,13,0,75.6,82.3,79.2,80.5,74.5,0.0,0,0,14,20.6,7,34,0,7,73.5,25,8.8,3,86.9,7,0,8.8,3,34,41,5.9,4.9,1.36
Tucker Fisk,52286,TE,LAC,11,1.3,0,83.3,0.0,0,1,0,16.7,1,1,27,0,45.8,68.0,48.3,56.7,42.0,85.7,78,0,12,29.7,27,91,1,5,64.8,59,5.5,5,88.2,6,0,5.5,5,31,27,5.4,6.2,0.53
Ben Skowronek,27948,WR,PIT,15,11.2,0,66.7,,0,0,0,0.0,0,4,25,0,72.1,67.0,67.7,76.0,61.6,0.0,0,0,22,6.3,4,64,0,4,90.6,58,46.9,30,145.1,6,1,53.1,34,69,25,6.3,17.3,1.19
Jalen Brooks,111284,WR,ARZ,6,10.8,2,50.0,100.0,1,1,0,25.0,1,3,1,0,36.2,23.0,59.7,,59.6,0.0,0,0,20,0.0,0,77,0,3,94.8,73,24.7,19,79.2,6,0,75.3,58,51,18,6.0,17.0,0.7
Beaux Collins,144112,WR,NYG,7,12.5,0,33.3,,0,0,0,0.0,0,1,21,0,68.3,64.0,47.6,,50.3,0.0,0,1,18,0.0,0,56,1,2,85.7,48,30.4,17,7.6,6,0,69.6,39,25,7,3.5,12.5,0.52
Zamir White,83665,HB,LV,5,-1.5,0,66.7,,0,0,0,0.0,0,0,23,0,72.1,79.8,51.6,57.7,58.4,0.0,0,0,9,25.5,12,47,0,4,63.8,30,0.0,0,74.3,6,0,2.1,1,24,28,7.0,6.0,0.8
Kameron Johnson,165866,WR,TB,10,11.7,0,66.7,,0,0,0,20.0,1,3,30,0,41.6,90.0,56.1,,55.8,0.0,0,1,34,0.0,0,44,0,4,97.7,43,40.9,18,102.1,6,1,59.1,26,64,19,4.8,16.0,1.49
D'Wayne Eskridge,29573,WR,MIA,12,13.0,0,66.7,100.0,2,2,0,0.0,0,3,17,0,72.1,31.6,68.1,,65.4,0.0,0,0,40,0.0,0,61,0,4,95.1,58,32.8,20,100.7,6,0,67.2,41,62,8,2.0,15.5,1.07
Albert Okwuegbunam,41933,TE,LV,1,3.8,2,83.3,0.0,0,1,0,0.0,0,2,23,0,73.4,68.0,72.2,,72.7,52.0,13,0,16,0.0,0,25,0,5,96.0,24,48.0,12,91.7,6,0,0.0,0,36,34,6.8,7.2,1.5
Andrew Ogletree,138351,TE,IND,15,7.7,0,66.7,50.0,1,2,0,0.0,0,2,14,0,72.1,67.0,58.2,85.4,55.5,67.7,67,0,11,40.4,40,99,0,4,52.5,52,17.2,17,116.0,6,1,11.1,11,27,8,2.0,6.8,0.52
Xavier Restrepo,122220,WR,TEN,2,13.3,0,50.0,0.0,0,2,0,0.0,0,3,31,0,73.4,68.0,71.5,,70.9,0.0,0,0,15,0.0,0,24,0,3,91.7,22,70.8,17,72.2,6,0,29.2,7,41,8,2.7,13.7,1.86
Blake Whiteheart,77881,TE,CLV,14,7.4,0,40.0,0.0,0,2,0,0.0,0,0,8,1,68.3,13.3,44.8,59.3,38.8,57.6,72,0,4,18.4,23,125,1,2,77.6,97,28.0,35,47.9,5,0,8.8,11,4,1,0.5,2.0,0.04
Shane Zylstra,143786,TE,DET,5,8.2,0,60.0,100.0,2,2,0,0.0,0,1,11,0,70.5,65.8,44.0,42.6,49.7,41.7,43,0,11,17.5,18,103,1,3,78.6,81,39.8,41,68.8,5,0,18.4,19,20,2,0.7,6.7,0.25
Tahj Washington,97288,WR,MIA,6,23.6,0,60.0,50.0,1,2,0,0.0,0,1,17,1,70.5,13.9,53.0,,53.1,0.0,0,1,19,0.0,0,40,0,3,95.0,38,27.5,11,43.3,5,0,72.5,29,37,9,3.0,12.3,0.97
Jake Bobo,77997,WR,SEA,14,8.4,0,80.0,100.0,1,1,0,0.0,0,3,29,0,72.1,67.0,60.7,32.3,63.6,0.0,0,0,17,4.9,3,61,1,4,93.4,57,36.1,22,150.4,5,1,63.9,39,53,15,3.8,13.3,0.93
